,Event,LN status,n,Model,Mean_C-Index,C-Index_Std,p-value,HR,CI-low,CI-high
0,DMFS,LN-,267,Grade,0.68,0.07,0.0058,2.16,1.23,3.82
1,DMFS,LN-,267,NPI,0.75,0.06,0.018,2.72,1.42,5.21
2,DMFS,LN-,267,BRACE,0.73,0.06,0.0002,1.22,0.83,1.8
3,DMFS,LN+,311,Grade,0.67,0.05,0.0293,1.93,1.14,3.27
4,DMFS,LN+,311,NPI,0.75,0.06,0.0094,1.77,1.29,2.43
5,DMFS,LN+,311,BRACE,0.68,0.07,0.0003,1.23,0.86,1.76
6,BCSS,LN-,267,Grade,0.69,0.07,0.0023,2.29,1.27,4.12
7,BCSS,LN-,267,NPI,0.76,0.06,0.0069,2.91,1.49,5.68
8,BCSS,LN-,267,BRACE,0.73,0.06,0.0001,1.24,0.85,1.82
9,BCSS,LN+,311,Grade,0.68,0.06,0.0112,2.06,1.18,3.59
10,BCSS,LN+,311,NPI,0.74,0.06,0.0085,1.74,1.24,2.44
11,BCSS,LN+,311,BRACE,0.73,0.06,0.0,1.28,0.91,1.8
